applicant_id,first_name,last_name,date_of_birth,address,phone_number
1,Moh4mm4d,Nu9r4h4,2003-06-14,"Jl. Kenanga No. 12, Jakarta",081234567891
2,MOH4MM4D,NUGR4H4,2004-03-22,"Jl. Melati No. 45, Bandung",082123456781
3,M0hammad,Nugr4h4,2003-11-05,"Jl. Cemara No. 7, Surabaya",081345678912
4,Mohammad,NUGR4H4,2004-01-17,"Jl. Sakura No. 4, Semarang",082134567892
5,m0h4mm4d,nu9r4h4,2003-09-12,"Jl. Mawar No. 9, Yogyakarta",081223456789
6,MoH4mM4d,NugR4h4,2003-12-30,"Jl. Anggrek No. 18, Medan",082143256789
7,M0H4MM4D,NuGr4Ha,2003-05-26,"Jl. Duku No. 33, Makassar",081298765432
8,Mohammad,NUGRAHA,2004-02-11,"Jl. Apel No. 2, Palembang",081345679123
9,m0H4mmad,nug9ah4,2004-04-19,"Jl. Jambu No. 25, Malang",082198765432
10,M0h4mM4D,NUGRAHA,2003-07-07,"Jl. Pisang No. 66, Denpasar",081399988877
11,Ari3l,H3rfri50n,2004-03-14,"Jl. Jeruk No. 2, Bekasi",081223498761
12,AR13L,H3RFR1S0N,2003-08-03,"Jl. Sawo No. 11, Depok",082154321789
13,4riel,Herfris0n,2003-11-23,"Jl. Mangga No. 55, Tangerang",081276543219
14,AR1EL,H3RFR1S0N,2003-02-09,"Jl. Rambutan No. 88, Bogor",082199876543
15,Ariel,Herfrison,2003-12-10,"Jl. Durian No. 6, Cirebon",081277789912
16,ar13l,h3rfr150n,2004-06-18,"Jl. Nangka No. 90, Padang",082134556789
17,4R13L,HERFRI50N,2004-01-27,"Jl. Srikaya No. 14, Batam",081287654321
18,Ari3L,HerfR150n,2003-10-06,"Jl. Kedondong No. 70, Solo",082198123456
19,Arie1,HERFRISON,2004-02-03,"Jl. Jambu No. 20, Balikpapan",081256789123
20,ARI3L,h3rfri50n,2004-04-28,"Jl. Salak No. 31, Pontianak",082123987654
21,F4rh4n,N4f15,2004-05-05,"Jl. Kamboja No. 12, Serang",081254789621
22,FARH4N,N4F15,2003-06-15,"Jl. Wijaya Kusuma No. 4, Cimahi",082145678912
23,F4rH4n,Nafis,2003-08-09,"Jl. Lili No. 7, Madiun",081267898712
24,Farh4n,N4FIS,2004-01-30,"Jl. Anyelir No. 1, Kediri",082134987621
25,f4rhan,naf15,2003-04-17,"Jl. Teratai No. 5, Tasikmalaya",081233221234
26,F4RH4N,N4F15,2003-10-25,"Jl. Dahlia No. 44, Manado",082198726154
27,f4RH4N,NAFIS,2004-03-03,"Jl. Tanjung No. 13, Palu",081267891234
28,FARH4N,N4f15,2003-07-07,"Jl. Ketapang No. 23, Kendari",082111122233
29,f4rh4n,naf15,2004-02-20,"Jl. Cemara No. 89, Kupang",081299887766
30,FARH4N,NAFIS,2003-09-28,"Jl. Flamboyan No. 5, Banjarmasin",082133344455
31,H41k4l,455y4uq1,2003-05-15,"Jl. Alpukat No. 13, Surakarta",081222334455
32,HA1K4L,ASSY4UQ1,2004-07-22,"Jl. Sukun No. 19, Pekanbaru",082122334456
33,Haikal,Assy4uqi,2003-12-03,"Jl. Nanas No. 33, Tegal",081267845129
34,H41k4L,Assyauqi,2003-09-14,"Jl. Pepaya No. 77, Cianjur",082198772112
35,ha1k4l,455yauqi,2003-01-01,"Jl. Sawo No. 21, Banjar",081212121212
36,H41K4L,455YAUQ1,2004-03-30,"Jl. Srikaya No. 34, Pangkalpinang",082187654321
37,h41K4L,Assy4Uq1,2003-11-11,"Jl. Damar No. 90, Mojokerto",081232345678
38,Ha1KaL,Assy4UqI,2003-06-28,"Jl. Jati No. 6, Magelang",082167849512
39,Haikal,ASSYAUQI,2004-01-09,"Jl. Jengkol No. 99, Blitar",081289123456
40,HA1KAL,455y4UQ1,2003-02-18,"Jl. Kapuk No. 4, Probolinggo",082145612378
41,R4d3n,Fr4nC15c0,2003-07-07,"Jl. Mawar No. 1, Tasikmalaya",081293847561
42,RAD3N,FRANC15CO,2004-06-13,"Jl. Kamboja No. 23, Pontianak",082145637291
43,R4den,Francisco,2003-04-04,"Jl. Cemara No. 88, Pekalongan",081223489127
44,R4d3N,Fr4nc15co,2003-12-25,"Jl. Jeruk No. 4, Sukabumi",082144478512
45,r4d3n,fr4nc1sco,2004-01-31,"Jl. Mangga No. 56, Metro",081267891255
46,RADEN,FRANCISCO,2004-04-17,"Jl. Anggrek No. 45, Bitung",082198123785
