detail_id,applicant_id,first_name,last_name,application_role,cv_path,date_of_birth,address,phone_number
1,20,ARI3L,h3rfri50n,Software Developer,data/INFORMATION-TECHNOLOGY/15118506.pdf,2004-04-28,"Jl. Salak No. 31, Pontianak",082123987654
2,27,f4RH4N,NAFIS,Financial Planner,data/FINANCE/12858898.pdf,2004-03-03,"Jl. Tanjung No. 13, Palu",081267891234
3,74,1KHWAN,4lH4KIM,,data/CHEF/11121498.pdf,2003-09-20,"Jl. Tanjung No. 15, Tanjungpinang",082123456781
4,13,4riel,Herfris0n,Aviation Mechanic,data/AVIATION/11169163.pdf,2003-11-23,"Jl. Mangga No. 55, Tangerang",081276543219
5,42,RAD3N,FRANC15CO,Sales Consultant,data/SALES/15273850.pdf,2004-06-13,"Jl. Kamboja No. 23, Pontianak",082145637291
6,19,Arie1,HERFRISON,Reconciliation Officer,data/ACCOUNTANT/12065211.pdf,2004-02-03,"Jl. Jambu No. 20, Balikpapan",081256789123
7,34,H41k4L,Assyauqi,Content Creator,data/DIGITAL-MEDIA/15353911.pdf,2003-09-14,"Jl. Pepaya No. 77, Cianjur",082198772112
8,36,H41K4L,455YAUQ1,,data/CONSTRUCTION/12839152.pdf,2004-03-30,"Jl. Srikaya No. 34, Pangkalpinang",082187654321
9,2,MOH4MM4D,NUGR4H4,Site Supervisor,data/CONSTRUCTION/10820510.pdf,2004-03-22,"Jl. Melati No. 45, Bandung",082123456781
10,73,IkHwan,AlHak1m,Public Affairs Specialist,data/PUBLIC-RELATIONS/11624880.pdf,2004-03-18,"Jl. Mahoni No. 44, Binjai",081212398765
11,3,M0hammad,Nugr4h4,Software Developer,data/INFORMATION-TECHNOLOGY/10553553.pdf,2003-11-05,"Jl. Cemara No. 7, Surabaya",081345678912
12,33,Haikal,Assy4uqi,Cost Accountant,data/FINANCE/12071138.pdf,2003-12-03,"Jl. Nanas No. 33, Tegal",081267845129
13,74,1KHWAN,4lH4KIM,Anesthesiologist,data/HEALTHCARE/10466208.pdf,2003-09-20,"Jl. Tanjung No. 15, Tanjungpinang",082123456781
14,71,1khw4n,4lH4k1m,Process Associate,data/BPO/38707449.pdf,2003-06-06,"Jl. Kenari No. 23, Pariaman",081223456789
15,11,Ari3l,H3rfri50n,Lead Generation Specialist,data/BUSINESS-DEVELOPMENT/12814706.pdf,2004-03-14,"Jl. Jeruk No. 2, Bekasi",081223498761
16,71,1khw4n,4lH4k1m,Illustrator,data/ARTS/16244633.pdf,2003-06-06,"Jl. Kenari No. 23, Pariaman",081223456789
17,55,4l4nd,muli4,,data/ADVOCATE/12544735.pdf,2003-09-29,"Jl. Pinang No. 99, Bangkalan",081223334455
18,59,ALaNd,MuLiA,Pilot,data/AVIATION/10189110.pdf,2003-02-26,"Jl. Tomat No. 3, Ambon",081245677899
19,71,1khw4n,4lH4k1m,Soil Scientist,data/AGRICULTURE/17312146.pdf,2003-06-06,"Jl. Kenari No. 23, Pariaman",081223456789
20,6,MoH4mM4d,NugR4h4,Retail Banker,data/BANKING/11842348.pdf,2003-12-30,"Jl. Anggrek No. 18, Medan",082143256789
21,49,r4d3n,Francisco,Legal Researcher,data/ADVOCATE/13967854.pdf,2004-02-23,"Jl. Duku No. 70, Serang",081288899900
22,60,Aland,MuL1A,,data/TEACHER/15850434.pdf,2003-11-11,"Jl. Rambutan No. 67, Bau-Bau",082165432198
23,74,1KHWAN,4lH4KIM,Aircraft Maintenance Engineer,data/AVIATION/12043694.pdf,2003-09-20,"Jl. Tanjung No. 15, Tanjungpinang",082123456781
24,25,f4rhan,naf15,Bank Manager,data/BANKING/15553584.pdf,2003-04-17,"Jl. Teratai No. 5, Tasikmalaya",081233221234
25,18,Ari3L,HerfR150n,Intellectual Property Attorney,data/ADVOCATE/11773767.pdf,2003-10-06,"Jl. Kedondong No. 70, Solo",082198123456
